#REF	ALT	Missing	Total
214	6	8	228
179	49	0	228
9	219	0	228
19	207	2	228
50	178	0	228
50	178	0	228
52	176	0	228
168	60	0	228
181	47	0	228
208	20	0	228
63	165	0	228
161	67	0	228
191	31	6	228
226	2	0	228
185	35	8	228
123	101	4	228
218	4	6	228
174	52	2	228
221	7	0	228
208	8	12	228
222	6	0	228
219	9	0	228
215	13	0	228
218	2	8	228
196	32	0	228
208	16	4	228
222	6	0	228
219	9	0	228
218	10	0	228
199	25	4	228
202	18	8	228
23	197	8	228
215	13	0	228
151	77	0	228
153	75	0	228
153	75	0	228
194	34	0	228
60	166	2	228
219	7	2	228
198	30	0	228
219	9	0	228
226	2	0	228
220	8	0	228
155	71	2	228
221	7	0	228
212	16	0	228
173	51	4	228
219	5	4	228
212	16	0	228
65	159	4	228
173	55	0	228
145	75	8	228
172	50	6	228
208	16	4	228
220	8	0	228
206	22	0	228
82	144	2	228
200	24	4	228
132	92	4	228
208	20	0	228
180	48	0	228
215	3	10	228
195	33	0	228
59	161	8	228
216	2	10	228
213	7	8	228
219	7	2	228
27	201	0	228
214	12	2	228
226	2	0	228
216	12	0	228
213	11	4	228
213	15	0	228
213	15	0	228
218	2	8	228
219	7	2	228
218	6	4	228
198	18	12	228
211	13	4	228
80	142	6	228
165	61	2	228
216	4	8	228
224	4	0	228
219	3	6	228
5	219	4	228
6	222	0	228
153	75	0	228
203	25	0	228
140	88	0	228
220	2	6	228
217	5	6	228
186	36	6	228
215	13	0	228
95	123	10	228
11	213	4	228
218	2	8	228
52	168	8	228
183	43	2	228
218	10	0	228
168	60	0	228
211	17	0	228
193	25	10	228
208	12	8	228
218	10	0	228
63	163	2	228
216	8	4	228
78	144	6	228
103	125	0	228
84	144	0	228
96	132	0	228
223	3	2	228
225	3	0	228
218	2	8	228
15	213	0	228
26	200	2	228
202	26	0	228
226	2	0	228
226	2	0	228
68	156	4	228
81	147	0	228
200	20	8	228
223	5	0	228
130	92	6	228
133	95	0	228
226	2	0	228
217	5	6	228
5	221	2	228
199	19	10	228
117	109	2	228
194	34	0	228
44	184	0	228
82	144	2	228
180	48	0	228
83	145	0	228
18	204	6	228
81	147	0	228
188	40	0	228
183	43	2	228
218	10	0	228
209	9	10	228
122	106	0	228
225	3	0	228
215	3	10	228
224	4	0	228
214	14	0	228
196	32	0	228
103	113	12	228
209	17	2	228
217	11	0	228
226	2	0	228
220	2	6	228
2	226	0	228
5	221	2	228
215	11	2	228
215	3	10	228
224	4	0	228
213	13	2	228
216	12	0	228
186	42	0	228
187	41	0	228
226	2	0	228
186	42	0	228
52	176	0	228
59	169	0	228
82	144	2	228
203	19	6	228
207	21	0	228
220	2	6	228
215	13	0	228
216	2	10	228
218	8	2	228
207	9	12	228
180	42	6	228
53	173	2	228
57	167	4	228
204	24	0	228
128	92	8	228
203	23	2	228
202	14	12	228
204	18	6	228
226	2	0	228
110	118	0	228
200	28	0	228
225	3	0	228
72	148	8	228
222	6	0	228
194	22	12	228
222	6	0	228
59	169	0	228
221	7	0	228
218	2	8	228
191	37	0	228
119	103	6	228
221	3	4	228
182	46	0	228
188	40	0	228
223	5	0	228
216	2	10	228
222	6	0	228
224	2	2	228
179	39	10	228
185	35	8	228
10	210	8	228
216	4	8	228
134	92	2	228
214	12	2	228
40	188	0	228
208	14	6	228
191	33	4	228
170	58	0	228
214	6	8	228
196	30	2	228
218	10	0	228
223	5	0	228
224	2	2	228
226	2	0	228
193	27	8	228
12	214	2	228
149	71	8	228
145	83	0	228
223	3	2	228
87	141	0	228
131	89	8	228
90	138	0	228
80	146	2	228
225	3	0	228
102	126	0	228
216	8	4	228
140	88	0	228
224	2	2	228
225	3	0	228
214	2	12	228
220	8	0	228
191	27	10	228
207	19	2	228
223	5	0	228
223	5	0	228
91	137	0	228
210	18	0	228
181	41	6	228
212	4	12	228
189	37	2	228
176	52	0	228
222	2	4	228
223	5	0	228
113	115	0	228
209	7	12	228
220	8	0	228
101	127	0	228
123	105	0	228
203	15	10	228
214	6	8	228
224	4	0	228
218	10	0	228
216	12	0	228
222	6	0	228
200	24	4	228
201	15	12	228
10	206	12	228
153	63	12	228
81	139	8	228
126	96	6	228
106	122	0	228
177	39	12	228
212	6	10	228
194	30	4	228
219	7	2	228
154	74	0	228
161	67	0	228
200	28	0	228
219	7	2	228
173	55	0	228
188	40	0	228
214	12	2	228
207	19	2	228
134	94	0	228
221	7	0	228
171	55	2	228
222	6	0	228
226	2	0	228
218	6	4	228
218	8	2	228
119	109	0	228
106	122	0	228
131	97	0	228
211	17	0	228
217	11	0	228
191	37	0	228
208	20	0	228
214	14	0	228
185	43	0	228
224	4	0	228
217	3	8	228
205	21	2	228
191	27	10	228
140	88	0	228
208	20	0	228
130	94	4	228
226	2	0	228
219	3	6	228
221	3	4	228
226	2	0	228
214	2	12	228
126	98	4	228
218	10	0	228
223	3	2	228
98	124	6	228
222	6	0	228
210	10	8	228
214	4	10	228
220	2	6	228
224	4	0	228
167	59	2	228
226	2	0	228
223	5	0	228
223	5	0	228
204	18	6	228
197	31	0	228
103	125	0	228
223	5	0	228
132	96	0	228
220	2	6	228
10	212	6	228
226	2	0	228
186	40	2	228
102	126	0	228
223	5	0	228
181	47	0	228
5	221	2	228
172	50	6	228
214	2	12	228
178	50	0	228
140	86	2	228
222	2	4	228
213	3	12	228
215	5	8	228
143	85	0	228
197	31	0	228
220	4	4	228
152	76	0	228
105	121	2	228
223	5	0	228
220	2	6	228
225	3	0	228
212	6	10	228
16	212	0	228
222	4	2	228
81	145	2	228
203	21	4	228
203	17	8	228
201	25	2	228
224	2	2	228
224	4	0	228
216	10	2	228
156	68	4	228
226	2	0	228
6	222	0	228
16	212	0	228
171	57	0	228
217	5	6	228
165	61	2	228
118	108	2	228
173	55	0	228
60	160	8	228
224	4	0	228
220	2	6	228
226	2	0	228
165	63	0	228
226	2	0	228
195	31	2	228
222	2	4	228
222	4	2	228
90	128	10	228
172	56	0	228
220	8	0	228
220	8	0	228
155	73	0	228
212	4	12	228
225	3	0	228
181	47	0	228
216	12	0	228
224	2	2	228
180	38	10	228
111	105	12	228
150	76	2	228
214	14	0	228
213	9	6	228
51	177	0	228
208	20	0	228
226	2	0	228
21	207	0	228
169	59	0	228
132	96	0	228
216	10	2	228
189	39	0	228
203	25	0	228
126	102	0	228
178	50	0	228
2	226	0	228
225	3	0	228
218	4	6	228
221	7	0	228
226	2	0	228
219	7	2	228
218	10	0	228
226	2	0	228
214	2	12	228
218	8	2	228
222	6	0	228
122	100	6	228
92	136	0	228
223	5	0	228
115	101	12	228
105	123	0	228
220	8	0	228
94	132	2	228
216	6	6	228
31	197	0	228
224	2	2	228
101	119	8	228
213	11	4	228
216	2	10	228
202	26	0	228
207	21	0	228
220	8	0	228
224	4	0	228
225	3	0	228
226	2	0	228
217	11	0	228
169	59	0	228
225	3	0	228
219	3	6	228
222	4	2	228
95	133	0	228
209	17	2	228
218	2	8	228
149	77	2	228
23	203	2	228
2	226	0	228
209	19	0	228
219	7	2	228
212	10	6	228
16	210	2	228
216	2	10	228
223	5	0	228
217	9	2	228
61	159	8	228
221	5	2	228
189	37	2	228
121	105	2	228
3	217	8	228
208	16	4	228
220	4	4	228
226	2	0	228
86	130	12	228
223	5	0	228
175	45	8	228
95	129	4	228
220	4	4	228
170	58	0	228
166	62	0	228
166	56	6	228
207	21	0	228
177	45	6	228
173	53	2	228
166	56	6	228
206	10	12	228
201	27	0	228
216	12	0	228
221	3	4	228
168	60	0	228
219	3	6	228
221	3	4	228
140	88	0	228
219	9	0	228
223	3	2	228
152	76	0	228
119	99	10	228
145	83	0	228
172	52	4	228
216	12	0	228
195	21	12	228
38	190	0	228
217	3	8	228
176	40	12	228
172	46	10	228
203	13	12	228
50	178	0	228
162	56	10	228
97	119	12	228
225	3	0	228
75	153	0	228
83	141	4	228
208	20	0	228
36	192	0	228
223	5	0	228
201	27	0	228
226	2	0	228
210	10	8	228
83	145	0	228
213	15	0	228
212	14	2	228
204	24	0	228
207	9	12	228
204	24	0	228
210	16	2	228
214	4	10	228
217	11	0	228
196	30	2	228
15	203	10	228
56	168	4	228
204	24	0	228
213	3	12	228
226	2	0	228
173	51	4	228
214	8	6	228
2	214	12	228
226	2	0	228
182	34	12	228
226	2	0	228
222	2	4	228
200	24	4	228
36	182	10	228
217	9	2	228
58	168	2	228
208	20	0	228
219	9	0	228
197	31	0	228
215	7	6	228
224	2	2	228
186	42	0	228
222	2	4	228
119	107	2	228
225	3	0	228
211	5	12	228
226	2	0	228
45	175	8	228
223	3	2	228
65	157	6	228
207	21	0	228
22	206	0	228
36	192	0	228
53	175	0	228
195	33	0	228
216	12	0	228
216	10	2	228
225	3	0	228
174	46	8	228
224	2	2	228
214	4	10	228
208	18	2	228
208	20	0	228
226	2	0	228
209	9	10	228
17	201	10	228
17	211	0	228
17	209	2	228
17	209	2	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
200	22	6	228
150	78	0	228
17	211	0	228
197	31	0	228
224	4	0	228
202	16	10	228
152	74	2	228
167	59	2	228
68	158	2	228
221	3	4	228
212	16	0	228
212	4	12	228
217	9	2	228
219	5	4	228
71	157	0	228
30	198	0	228
156	60	12	228
217	3	8	228
177	41	10	228
226	2	0	228
169	47	12	228
220	8	0	228
148	68	12	228
157	65	6	228
127	101	0	228
162	66	0	228
52	174	2	228
216	8	4	228
212	6	10	228
19	207	2	228
205	23	0	228
222	6	0	228
83	143	2	228
187	35	6	228
216	2	10	228
215	11	2	228
213	11	4	228
209	17	2	228
194	34	0	228
225	3	0	228
146	80	2	228
217	11	0	228
171	53	4	228
201	27	0	228
162	60	6	228
135	91	2	228
165	63	0	228
7	215	6	228
214	10	4	228
204	24	0	228
165	63	0	228
208	18	2	228
204	18	6	228
218	10	0	228
222	6	0	228
151	75	2	228
165	63	0	228
219	5	4	228
215	13	0	228
225	3	0	228
168	60	0	228
224	4	0	228
221	7	0	228
199	17	12	228
225	3	0	228
208	20	0	228
128	100	0	228
225	3	0	228
222	2	4	228
39	189	0	228
13	215	0	228
135	93	0	228
163	65	0	228
226	2	0	228
131	97	0	228
222	4	2	228
223	3	2	228
211	15	2	228
213	13	2	228
165	59	4	228
226	2	0	228
195	23	10	228
210	8	10	228
218	10	0	228
225	3	0	228
216	2	10	228
100	120	8	228
171	57	0	228
161	67	0	228
59	161	8	228
216	4	8	228
226	2	0	228
171	57	0	228
185	31	12	228
169	55	4	228
47	181	0	228
187	41	0	228
37	191	0	228
90	138	0	228
69	157	2	228
199	29	0	228
151	73	4	228
153	75	0	228
220	2	6	228
223	3	2	228
167	59	2	228
63	165	0	228
226	2	0	228
225	3	0	228
69	157	2	228
215	13	0	228
224	2	2	228
226	2	0	228
226	2	0	228
12	212	4	228
210	14	4	228
220	8	0	228
142	86	0	228
219	7	2	228
193	29	6	228
196	32	0	228
219	7	2	228
213	7	8	228
26	202	0	228
219	7	2	228
217	5	6	228
223	5	0	228
219	9	0	228
226	2	0	228
218	8	2	228
216	12	0	228
222	2	4	228
87	139	2	228
210	12	6	228
218	2	8	228
213	3	12	228
193	35	0	228
213	3	12	228
135	85	8	228
2	226	0	228
208	20	0	228
167	59	2	228
152	64	12	228
118	98	12	228
4	224	0	228
102	120	6	228
204	24	0	228
103	117	8	228
226	2	0	228
17	211	0	228
218	10	0	228
222	2	4	228
220	2	6	228
224	4	0	228
202	26	0	228
217	11	0	228
215	9	4	228
11	217	0	228
207	11	10	228
94	132	2	228
208	18	2	228
92	136	0	228
214	2	12	228
4	224	0	228
222	2	4	228
225	3	0	228
225	3	0	228
217	3	8	228
64	164	0	228
63	163	2	228
218	2	8	228
143	85	0	228
200	28	0	228
156	72	0	228
226	2	0	228
222	6	0	228
217	11	0	228
224	4	0	228
220	6	2	228
199	19	10	228
217	3	8	228
216	8	4	228
131	97	0	228
220	8	0	228
222	6	0	228
223	5	0	228
224	4	0	228
223	5	0	228
177	47	4	228
23	205	0	228
211	17	0	228
215	9	4	228
220	8	0	228
224	4	0	228
73	153	2	228
221	7	0	228
225	3	0	228
226	2	0	228
23	205	0	228
77	141	10	228
156	72	0	228
222	6	0	228
226	2	0	228
219	9	0	228
216	8	4	228
31	187	10	228
182	46	0	228
212	16	0	228
221	7	0	228
226	2	0	228
206	20	2	228
95	127	6	228
210	18	0	228
170	58	0	228
135	93	0	228
218	2	8	228
213	9	6	228
216	12	0	228
202	14	12	228
156	72	0	228
226	2	0	228
159	69	0	228
156	68	4	228
157	67	4	228
157	67	4	228
213	5	10	228
154	74	0	228
218	6	4	228
218	2	8	228
156	72	0	228
119	109	0	228
163	63	2	228
165	63	0	228
217	11	0	228
215	13	0	228
193	33	2	228
96	132	0	228
132	96	0	228
222	2	4	228
192	36	0	228
202	20	6	228
210	18	0	228
183	43	2	228
151	77	0	228
216	2	10	228
214	14	0	228
180	48	0	228
200	26	2	228
153	73	2	228
160	68	0	228
90	138	0	228
200	24	4	228
223	5	0	228
164	64	0	228
215	13	0	228
215	13	0	228
54	166	8	228
175	53	0	228
145	83	0	228
214	2	12	228
223	3	2	228
207	11	10	228
220	8	0	228
218	4	6	228
216	12	0	228
136	92	0	228
210	6	12	228
211	5	12	228
208	8	12	228
214	2	12	228
215	13	0	228
174	44	10	228
192	36	0	228
147	81	0	228
192	36	0	228
187	39	2	228
157	71	0	228
45	183	0	228
51	175	2	228
222	2	4	228
223	5	0	228
173	51	4	228
188	40	0	228
225	3	0	228
224	4	0	228
225	3	0	228
214	4	10	228
184	44	0	228
224	2	2	228
41	187	0	228
194	34	0	228
218	4	6	228
87	139	2	228
207	19	2	228
225	3	0	228
219	9	0	228
19	209	0	228
223	5	0	228
183	35	10	228
186	40	2	228
219	9	0	228
219	9	0	228
216	2	10	228
193	35	0	228
223	3	2	228
183	43	2	228
220	2	6	228
223	5	0	228
138	90	0	228
222	2	4	228
204	22	2	228
111	115	2	228
57	169	2	228
221	7	0	228
210	18	0	228
226	2	0	228
27	191	10	228
209	17	2	228
220	2	6	228
133	91	4	228
203	25	0	228
200	28	0	228
191	35	2	228
217	11	0	228
140	88	0	228
163	65	0	228
222	6	0	228
211	9	8	228
218	2	8	228
183	45	0	228
203	25	0	228
219	7	2	228
220	8	0	228
215	7	6	228
218	8	2	228
194	34	0	228
211	17	0	228
223	5	0	228
209	9	10	228
221	7	0	228
184	40	4	228
223	5	0	228
224	4	0	228
210	18	0	228
222	2	4	228
108	120	0	228
57	165	6	228
226	2	0	228
221	7	0	228
145	79	4	228
216	10	2	228
75	153	0	228
159	57	12	228
223	5	0	228
210	12	6	228
199	29	0	228
215	11	2	228
216	2	10	228
226	2	0	228
146	82	0	228
204	24	0	228
201	27	0	228
89	135	4	228
216	2	10	228
209	17	2	228
226	2	0	228
226	2	0	228
131	97	0	228
226	2	0	228
117	111	0	228
206	20	2	228
224	2	2	228
195	33	0	228
224	4	0	228
42	186	0	228
27	201	0	228
217	11	0	228
30	194	4	228
202	26	0	228
226	2	0	228
226	2	0	228
62	166	0	228
185	43	0	228
225	3	0	228
19	209	0	228
218	2	8	228
225	3	0	228
108	120	0	228
137	89	2	228
123	99	6	228
130	96	2	228
115	111	2	228
226	2	0	228
221	7	0	228
216	2	10	228
159	67	2	228
168	60	0	228
216	10	2	228
204	24	0	228
183	39	6	228
52	176	0	228
95	133	0	228
63	161	4	228
39	179	10	228
164	64	0	228
221	7	0	228
127	97	4	228
197	31	0	228
219	9	0	228
163	63	2	228
226	2	0	228
219	9	0	228
94	134	0	228
213	13	2	228
210	12	6	228
25	203	0	228
28	200	0	228
197	21	10	228
89	139	0	228
163	65	0	228
95	123	10	228
224	4	0	228
177	51	0	228
145	83	0	228
209	19	0	228
216	4	8	228
147	81	0	228
195	33	0	228
182	36	10	228
208	16	4	228
117	111	0	228
145	73	10	228
135	93	0	228
217	3	8	228
214	14	0	228
168	48	12	228
222	2	4	228
149	79	0	228
145	83	0	228
9	217	2	228
211	17	0	228
112	114	2	228
215	3	10	228
213	15	0	228
167	61	0	228
214	14	0	228
198	18	12	228
223	3	2	228
224	2	2	228
87	141	0	228
216	8	4	228
215	11	2	228
220	4	4	228
221	7	0	228
69	159	0	228
224	4	0	228
19	209	0	228
88	138	2	228
156	70	2	228
206	16	6	228
212	4	12	228
154	64	10	228
195	29	4	228
169	59	0	228
212	4	12	228
211	17	0	228
38	190	0	228
106	122	0	228
55	165	8	228
211	13	4	228
223	5	0	228
167	61	0	228
88	140	0	228
143	85	0	228
210	18	0	228
137	91	0	228
221	7	0	228
159	69	0	228
216	2	10	228
62	156	10	228
200	28	0	228
205	23	0	228
224	4	0	228
210	10	8	228
138	86	4	228
9	213	6	228
226	2	0	228
162	66	0	228
211	5	12	228
126	94	8	228
190	36	2	228
218	6	4	228
215	7	6	228
216	4	8	228
210	16	2	228
206	18	4	228
209	19	0	228
120	106	2	228
176	40	12	228
213	3	12	228
58	164	6	228
78	150	0	228
224	4	0	228
221	7	0	228
221	3	4	228
215	9	4	228
209	7	12	228
166	56	6	228
147	73	8	228
200	16	12	228
22	206	0	228
215	13	0	228
217	11	0	228
217	11	0	228
224	4	0	228
221	7	0	228
206	12	10	228
222	2	4	228
221	7	0	228
219	3	6	228
101	127	0	228
209	13	6	228
184	40	4	228
215	13	0	228
178	50	0	228
217	5	6	228
14	210	4	228
195	29	4	228
124	98	6	228
9	219	0	228
178	40	10	228
205	23	0	228
212	10	6	228
226	2	0	228
137	91	0	228
202	26	0	228
119	109	0	228
157	71	0	228
213	3	12	228
104	124	0	228
28	198	2	228
148	80	0	228
148	80	0	228
4	218	6	228
208	20	0	228
207	21	0	228
155	69	4	228
117	109	2	228
220	2	6	228
216	2	10	228
80	136	12	228
224	4	0	228
17	211	0	228
221	7	0	228
17	209	2	228
225	3	0	228
52	176	0	228
212	4	12	228
217	9	2	228
34	192	2	228
219	9	0	228
189	39	0	228
146	82	0	228
115	113	0	228
204	24	0	228
189	39	0	228
222	4	2	228
13	215	0	228
226	2	0	228
108	120	0	228
219	9	0	228
4	220	4	228
111	109	8	228
222	4	2	228
226	2	0	228
214	10	4	228
210	6	12	228
46	178	4	228
101	127	0	228
221	7	0	228
118	110	0	228
17	211	0	228
17	211	0	228
189	33	6	228
172	56	0	228
222	6	0	228
42	174	12	228
17	211	0	228
179	47	2	228
181	47	0	228
217	7	4	228
200	28	0	228
3	215	10	228
216	8	4	228
214	2	12	228
17	211	0	228
150	78	0	228
215	7	6	228
150	78	0	228
87	141	0	228
9	219	0	228
9	217	2	228
211	5	12	228
9	219	0	228
117	111	0	228
224	4	0	228
218	10	0	228
218	8	2	228
219	9	0	228
216	4	8	228
198	24	6	228
155	73	0	228
226	2	0	228
139	85	4	228
219	5	4	228
196	32	0	228
203	25	0	228
222	6	0	228
24	204	0	228
6	210	12	228
225	3	0	228
206	10	12	228
17	209	2	228
6	220	2	228
211	17	0	228
221	7	0	228
188	30	10	228
17	205	6	228
16	210	2	228
166	62	0	228
167	61	0	228
226	2	0	228
17	211	0	228
15	209	4	228
146	82	0	228
205	15	8	228
218	2	8	228
10	212	6	228
17	211	0	228
201	17	10	228
17	211	0	228
165	63	0	228
153	65	10	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
225	3	0	228
17	211	0	228
17	211	0	228
17	211	0	228
17	201	10	228
17	209	2	228
17	211	0	228
17	211	0	228
213	15	0	228
17	209	2	228
17	211	0	228
17	211	0	228
156	70	2	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
17	211	0	228
223	3	2	228
226	2	0	228
218	2	8	228
93	131	4	228
2	222	4	228
219	5	4	228
157	71	0	228
225	3	0	228
220	2	6	228
17	209	2	228
73	155	0	228
201	27	0	228
12	204	12	228
226	2	0	228
17	211	0	228
181	47	0	228
16	208	4	228
152	76	0	228
116	104	8	228
20	202	6	228
214	12	2	228
17	211	0	228
17	211	0	228
212	14	2	228
212	12	4	228
213	5	10	228
195	25	8	228
118	104	6	228
153	75	0	228
141	87	0	228
214	2	12	228
225	3	0	228
31	193	4	228
216	12	0	228
200	26	2	228
187	31	10	228
151	77	0	228
220	8	0	228
216	4	8	228
13	215	0	228
226	2	0	228
218	8	2	228
209	17	2	228
44	184	0	228
226	2	0	228
61	159	8	228
202	20	6	228
161	67	0	228
127	99	2	228
54	174	0	228
226	2	0	228
163	65	0	228
220	8	0	228
213	3	12	228
44	182	2	228
219	3	6	228
222	2	4	228
40	188	0	228
140	84	4	228
221	7	0	228
179	45	4	228
191	31	6	228
175	53	0	228
93	135	0	228
179	49	0	228
157	67	4	228
42	186	0	228
220	8	0	228
57	161	10	228
215	7	6	228
85	143	0	228
71	157	0	228
210	18	0	228
224	4	0	228
224	4	0	228
222	4	2	228
27	201	0	228
85	143	0	228
213	15	0	228
215	11	2	228
15	211	2	228
213	3	12	228
221	3	4	228
223	5	0	228
218	10	0	228
108	116	4	228
221	5	2	228
204	22	2	228
171	57	0	228
226	2	0	228
159	69	0	228
7	219	2	228
142	86	0	228
201	17	10	228
173	55	0	228
222	6	0	228
214	14	0	228
206	22	0	228
203	23	2	228
182	40	6	228
139	87	2	228
223	3	2	228
154	74	0	228
42	184	2	228
175	43	10	228
222	2	4	228
219	3	6	228
133	87	8	228
29	197	2	228
71	157	0	228
215	7	6	228
98	124	6	228
137	91	0	228
224	4	0	228
215	13	0	228
222	4	2	228
223	3	2	228
138	88	2	228
21	205	2	228
221	7	0	228
214	14	0	228
147	81	0	228
216	10	2	228
198	24	6	228
213	5	10	228
218	6	4	228
22	194	12	228
27	201	0	228
129	99	0	228
161	67	0	228
224	4	0	228
116	102	10	228
134	88	6	228
214	6	8	228
44	184	0	228
215	13	0	228
192	36	0	228
174	54	0	228
222	4	2	228
220	2	6	228
205	15	8	228
214	2	12	228
94	134	0	228
153	73	2	228
195	29	4	228
109	113	6	228
225	3	0	228
155	73	0	228
158	70	0	228
133	95	0	228
137	79	12	228
205	19	4	228
157	69	2	228
22	206	0	228
104	122	2	228
159	69	0	228
20	206	2	228
179	49	0	228
225	3	0	228
156	72	0	228
144	84	0	228
23	203	2	228
143	85	0	228
218	6	4	228
181	45	2	228
173	51	4	228
196	24	8	228
115	113	0	228
214	10	4	228
223	3	2	228
223	5	0	228
210	14	4	228
218	10	0	228
208	20	0	228
224	2	2	228
95	133	0	228
36	192	0	228
3	225	0	228
221	3	4	228
203	19	6	228
127	101	0	228
226	2	0	228
214	4	10	228
225	3	0	228
225	3	0	228
216	10	2	228
225	3	0	228
218	10	0	228
202	18	8	228
199	29	0	228
209	19	0	228
222	2	4	228
225	3	0	228
225	3	0	228
169	59	0	228
226	2	0	228
184	44	0	228
101	127	0	228
226	2	0	228
159	69	0	228
212	4	12	228
211	17	0	228
226	2	0	228
225	3	0	228
148	80	0	228
111	117	0	228
144	84	0	228
121	107	0	228
20	208	0	228
176	40	12	228
178	50	0	228
172	54	2	228
219	9	0	228
216	12	0	228
218	4	6	228
208	8	12	228
20	202	6	228
212	6	10	228
226	2	0	228
189	39	0	228
209	9	10	228
163	63	2	228
211	13	4	228
225	3	0	228
173	45	10	228
223	5	0	228
217	7	4	228
195	31	2	228
168	60	0	228
223	5	0	228
172	56	0	228
75	151	2	228
4	224	0	228
225	3	0	228
211	17	0	228
195	33	0	228
215	11	2	228
224	4	0	228
119	109	0	228
225	3	0	228
222	6	0	228
93	135	0	228
224	4	0	228
212	16	0	228
223	3	2	228
217	5	6	228
219	9	0	228
80	140	8	228
94	134	0	228
174	50	4	228
216	2	10	228
218	10	0	228
191	37	0	228
225	3	0	228
219	9	0	228
219	3	6	228
216	12	0	228
215	11	2	228
211	7	10	228
225	3	0	228
214	12	2	228
215	13	0	228
226	2	0	228
216	2	10	228
208	20	0	228
217	11	0	228
214	14	0	228
215	3	10	228
219	3	6	228
223	3	2	228
67	161	0	228
226	2	0	228
226	2	0	228
11	215	2	228
225	3	0	228
197	31	0	228
217	11	0	228
217	5	6	228
203	19	6	228
133	95	0	228
204	24	0	228
122	106	0	228
121	95	12	228
108	118	2	228
27	201	0	228
97	131	0	228
194	34	0	228
224	4	0	228
2	220	6	228
85	137	6	228
148	80	0	228
204	24	0	228
103	121	4	228
145	71	12	228
212	4	12	228
215	13	0	228
3	219	6	228
214	2	12	228
99	129	0	228
92	134	2	228
114	114	0	228
216	10	2	228
199	29	0	228
224	4	0	228
130	90	8	228
59	163	6	228
133	95	0	228
123	99	6	228
153	75	0	228
152	74	2	228
153	75	0	228
50	178	0	228
126	102	0	228
215	7	6	228
159	67	2	228
216	6	6	228
222	6	0	228
224	4	0	228
70	158	0	228
142	82	4	228
132	96	0	228
69	159	0	228
15	213	0	228
212	6	10	228
67	161	0	228
15	205	8	228
181	47	0	228
50	166	12	228
167	53	8	228
34	194	0	228
166	50	12	228
223	3	2	228
176	52	0	228
216	2	10	228
74	154	0	228
200	24	4	228
105	123	0	228
184	32	12	228
136	92	0	228
88	140	0	228
220	6	2	228
138	84	6	228
35	193	0	228
218	2	8	228
209	7	12	228
63	155	10	228
22	206	0	228
223	3	2	228
125	103	0	228
138	80	10	228
220	8	0	228
224	4	0	228
225	3	0	228
93	133	2	228
69	149	10	228
31	187	10	228
195	33	0	228
199	23	6	228
134	84	10	228
207	19	2	228
31	195	2	228
11	215	2	228
219	3	6	228
223	3	2	228
224	4	0	228
132	88	8	228
222	6	0	228
193	33	2	228
126	100	2	228
219	7	2	228
60	168	0	228
83	145	0	228
204	24	0	228
165	63	0	228
67	161	0	228
215	13	0	228
222	6	0	228
97	131	0	228
7	221	0	228
189	39	0	228
213	9	6	228
137	81	10	228
15	207	6	228
139	89	0	228
223	5	0	228
225	3	0	228
185	33	10	228
215	11	2	228
221	3	4	228
14	206	8	228
192	32	4	228
151	65	12	228
214	6	8	228
220	8	0	228
118	110	0	228
222	6	0	228
162	64	2	228
58	170	0	228
210	18	0	228
157	71	0	228
221	7	0	228
138	86	4	228
49	173	6	228
192	32	4	228
181	47	0	228
225	3	0	228
217	11	0	228
12	214	2	228
159	57	12	228
62	166	0	228
215	11	2	228
218	2	8	228
8	208	12	228
32	196	0	228
104	114	10	228
154	66	8	228
160	58	10	228
223	3	2	228
224	4	0	228
213	5	10	228
218	6	4	228
100	128	0	228
55	173	0	228
220	8	0	228
71	157	0	228
99	129	0	228
226	2	0	228
186	36	6	228
69	159	0	228
71	157	0	228
215	13	0	228
225	3	0	228
208	20	0	228
215	3	10	228
224	4	0	228
204	24	0	228
136	84	8	228
218	6	4	228
203	25	0	228
202	16	10	228
172	56	0	228
151	77	0	228
225	3	0	228
225	3	0	228
226	2	0	228
222	6	0	228
197	31	0	228
211	9	8	228
181	47	0	228
219	9	0	228
47	179	2	228
206	12	10	228
207	9	12	228
136	84	8	228
221	3	4	228
226	2	0	228
225	3	0	228
145	83	0	228
217	9	2	228
225	3	0	228
202	24	2	228
43	181	4	228
110	110	8	228
192	34	2	228
85	139	4	228
126	92	10	228
164	64	0	228
116	110	2	228
220	2	6	228
181	43	4	228
87	141	0	228
219	3	6	228
153	71	4	228
175	51	2	228
207	13	8	228
209	11	8	228
213	9	6	228
212	16	0	228
212	8	8	228
226	2	0	228
141	81	6	228
151	67	10	228
224	4	0	228
223	3	2	228
202	26	0	228
222	2	4	228
223	5	0	228
213	15	0	228
199	19	10	228
212	6	10	228
226	2	0	228
223	5	0	228
222	6	0	228
15	211	2	228
208	18	2	228
164	60	4	228
38	178	12	228
211	17	0	228
205	21	2	228
219	5	4	228
178	48	2	228
153	75	0	228
205	23	0	228
222	2	4	228
144	84	0	228
176	52	0	228
225	3	0	228
225	3	0	228
213	3	12	228
224	2	2	228
220	8	0	228
216	2	10	228
217	11	0	228
214	14	0	228
